,제목,작가,평점,내용,장르,이용연령가,연재요일
186,"안녕, 나의 수집",하린,9.95,슈퍼 '맥시멀리스트'였던 내가 어느 날 '미니멀리즘'에 눈을 떴다?! 이것저것 사 모으는 걸 좋아했던 맥시멀리스트 '무주'.어느 날 포화상태가 된 방을 보고 '이대론 안되겠다'라는 생각이 들었다. 저마다 다양한 사연을 갖고 있는 물건들을 비워내며 미니멀리스트가 되려 하는 무주와 물건의 이야기!,"에피소드, 일상",전체연령가,수
187,세상은 돈과 권력,한동우 / 이도희,9.88,"재벌 3세가 일반 고등학교에 들어오면서, 선생들과 학생들은 거대 자본에 굴복해 권력을 차지하기 위한 '두뇌싸움'이 난무하는 학교로 바뀐다. 이 학교의 법칙을 부수기 위해 천재 '단건우'가 전학온다.","에피소드, 드라마",15세 이용가,수
188,겨울 정원의 하와르,단청 / 래럿 / 미나토,9.94,"왕좌 싸움에 밀려 왕국에서 먼 곳으로 정략 결혼을 하게 된 왕녀 카놀라.처음 본 정혼자에게 한 눈에 반해 버렸다!하지만 시집 갈 트리폴 왕국 사람들은 이방인 취급하며 그녀를 무시하고,세 가지 시험을 통과하기 전까진 결혼할 수 없다고 통보한다. 심지어 정혼자까지 그녀에게 쌀쌀 맞기만 한데....여기서 물러설 수 없다. 이미 손자 손녀 이름까지 지어 놨다.그깟 시험 따위 빨리 해치워 버리겠어!","스토리, 로맨스",전체연령가,수
189,이십팔세기 광팬,컷부,9.91,"망한 작가 이지음의 앞에 이십팔세기에서 지음의 광팬, 최강팬이 찾아온다. 강팬은 지음이 단명한다는 사실을 알려주고, 지음이 무병장수해서 다작할 수 있도록 돕겠다고 한다. 그런데 이럴 수가. 책 뿐만 아니라 인생까지 망할 것 같다.","에피소드, 개그",12세 이용가,수
190,행성인간2: 행성의,조석,9.95,행성의(行星儀): 행성을 본떠 만든 모형행성인간의 능력이 세상에 퍼져 병이 되고 그 병에 걸린 사람들.그리고 행성인간이 되려는 사람들과 행성인간이 되고 싶지 않았던 사람들.행성인간을 본떠 만든 모든 존재들을 '행성의'라고 부른다.황지 일행은 자신들로 인해 생겨나는 '행성의'들을 해결하고 수습하려 하지만 세상은 정해진듯 움직이며 멈춰주지 않는다. <조의 영역>부터 <묵시의 인플루언서>로 이어지는 조석 유니버스의 끝나지 않은 이야기!,"에피소드, 스릴러",15세 이용가,수
191,쓰레기는 쓰레기통에!,EDDiERiNG,9.97,"잘생긴 외모로 돈 많은 여자들을 유혹하며 쓰레기처럼 살아가던 '우빈'. 단지 유혹의 대상이었던 재벌 상속녀 '수지'를 역으로 사랑해버리게 된다. 처음으로 찾아온 사랑의 달콤함도 잠시, 천사 같은 그녀의 겉모습 뒤에 감춰진 악취는 우빈을 점점 옥죄여오기 시작하는데... 분리수거도 안 되는 인쓰들의 로맨스!","스토리, 로맨스",15세 이용가,수
192,아도나이,주동근,9.91,"경신일보 유미건 기자는 어느 날 의문의 제보 메일을 받게 된다. 그녀는 알 수 없는 이끌림에 매료되어 외계인을 믿는 사이비종교 '앙천회'에 잠입 취재를 감행한다. 그런데 이 종교, 알면 알수록 위험하다. <지금 우리 학교는> 주동근 작가의 미스테리 스릴러.","스토리, 스릴러",15세 이용가,수
193,판타지 여동생!,유누,9.85,게임 초보 여동생의 RPG 도전기.트롤 취급은 노노! 제가 사실 엄청난 히든 직업을 갖고 있거든요?,"스토리, 판타지",전체연령가,수
194,물고기로 살아남기,동우,9.64,"믿었던 동료의 배신으로 죽을 위기에 처한 '이유신'은 죽음의 순간, 한줄기 빛을 보게 된다.""새로운 삶을 다시 시작하시겠습니까?""정신을 차리자 눈앞에 광활한 저수지가 펼쳐져 있었고 몸은 물고기로 변해 있었다.물고기가 되어버린 그는 과연 모든 시련을 이겨내고 가족들의 품으로 돌아갈 수 있을까?","스토리, 판타지",15세 이용가,수
195,헤어지면 죽음,봄소희 / KYMA,9.93,"완벽한 인플루언서의 삶. 좋아하는 여자와의 썸.고백만이 남았는데 황당한 테러 사건에 휘말렸다?!""집착이 아니라 진짜로 우리..! 헤어지면 죽어!!""","스토리, 로맨스",15세 이용가,수
196,고교흥신소,김성모,8.78,"뭐 하나 빠지는 것 없는 고등학생 한유진, 학교에서는 조용하게 지내는 학생이지만밖에서는 흥신소를 운영하는 사장으로써, 친구들과 함께 뒷세계의 일들을 해결해 나간다!","스토리, 드라마",15세 이용가,수
197,언덕 위의 제임스,쿠당탕,9.92,제임스들이 펼치는 코믹 막장 에피소드!지금 전세계의 제임스들이 몰려온다,"에피소드, 개그",전체연령가,수
198,밀행,H.C / 봉선 / 아슬로,9.96,"막히는 일이 있으면 누구나 두루 찾는다는 마을의 감초 태인. 귀갓길에 웬 남자와 웃지 못할 상황이 일어나고, 술에 취한 태인의 아버지가 그 사내를 주워와버렸다!그 사내의 이름은 기현. 처음엔 그저 식량이나 축내는 실없는 사람인 줄 알았더니 위급할 때마다 척척 일을 해결해 내는 솜씨가 보통이 아니다. 정신을 차려보니 어느새 기현은 태인의 마음속에 들어와 버렸는데...","스토리, 로맨스",전체연령가,수
199,사내고충처리반,정주행 / JINU,9.85,"한국 경제를 쥐락펴락하는 재계 1위 일강그룹. 하지만 그 속은 곪을 대로 곪아 각종 부패와 비리로 얼룩져있다. 썩어가는 일강그룹을 살리기 위해 해결책이 필요했던 회장은 미국에서 조용히 지내고 있던 일강가의 막내 ‘이선호' 를 한국으로 부르며 비밀스러운 제안을 하게 되는데...""직원들을 개돼지 취급하는 인간들아! 너희들의 갑질은 우리 ‘사내고충처리반’이 바로 잡아줄게!""","스토리, 드라마",12세 이용가,수
200,이런 미친 엔딩,LEE세,9.83,주인공 차지호는 교육열 강한 엄마 밑에서 자라 전교 1등을 절대 놓친 적 없는 엘리트 학생이다.인생의 모든 플랜이 엄마가 원하는 대로 움직이던 그녀에게도 남 몰래 짝사랑하는 남학생이 있었으니 그의 이름은 유찬.어느 날 지호는 자신이 쓰던 수첩과 유찬의 수첩을 뒤바뀐 것을 계기로 그의 엄청난 비밀을 알게 되는데…자신의 수명이 얼마 남지 않았다는 것을 깨달은 여자와 자신의 능력으로 누군가를 구할 수 있을 거라 믿었던 남자의 인생 사기 혼인 로맨스.,"스토리, 로맨스",전체연령가,수
201,수요웹툰의 나강림,이경민 / 송준혁,9.89,"평소 웹툰을 즐겨보는 고등학생 나강림. 어느날 그의 눈앞에 웹툰 속에서 봤던 여주인공이 나타나는 기이한 일이 펼쳐진다.심지어 웹툰에서와 똑같은 사건이 그녀를 위기로 몰아넣는데,문제는 그 사건으로부터 그녀를 구해줄 주인공이 현실에는 없다는 것!결국 나강림은 주인공 역할을 대신하여 그녀들을 구하기 위해 시간을 반복하며 구른다.","스토리, 판타지",15세 이용가,수
202,가짜 동맹,케냠,9.98,소꿉친구와 하루아침에 커플이 되었다?!통제가 강한 부모님들을 안심 시키고 자유롭게 생활하기 위해 동맹을 맺은 두 모범생 ‘윤세이’와 ‘김재하’.동맹을 들킬 위기를 모면하기 위한 두 사람의 가짜 커플 행세가 시작된다!,"스토리, 로맨스",전체연령가,수
203,칼부림,고일권,9.91,뜻을 품고 한을 품은 팔도의 자제들아 서슬퍼런 칼날 내보이라!이괄의 난을 배경으로 펼쳐지는 함이의 복수와 성장,"스토리, 무협/사극",12세 이용가,수
204,연애고수,햇님,9.91,"외모는 B, 성품은 D- ...남자를 '진짜' 볼 줄 아는 그녀의 비밀은연애에 도움되는 정보가 담긴 상태창!그런 그녀마저 뒤흔드는 특별한 남자들이 등장하는데..?180도 달라진 전남친 승헌, 스탯창도 인정한 '완벽한 남자' 로운.세 사람의 예측불허 로맨스가 시작된다!","스토리, 로맨스",15세 이용가,수
205,얼굴천재,지에이,9.86,"어느 날 갑자기 게임 캐릭터로 변신하는 능력이 생겼다! 그 스킬과, 그 모습이 모두 내 것이다.나는 이제 언제든 ""얼굴천재""가 된다!","스토리, 드라마",12세 이용가,수
206,마녀와 용의 신혼일기,뉴릉이 / 디망 / 바리달,9.96,한 번의 실수로 인생을 꿰인 천재 마녀의 달콤살벌 신혼생활!신입과의 하룻밤으로 모든 지위와 명성에 먹칠 당하게 된 천재 마법사 웬디. 그런데 뭐..? 비밀을 지켜줄 테니 결혼해달라고...?!,"스토리, 로맨스",15세 이용가,수
207,로어 올림푸스,레이첼 스마이스,9.94,"어디서도 본 적 없는 신화 이야기, 풋내기 여신 페르세포네와 지하세계의 왕 하데스의 현대판 로맨스 판타지!글로벌 No.1 인기작 'Lore Olympus'를 한국어 버전으로 감상하세요.","스토리, 로맨스",15세 이용가,수
208,괴물공작의 딸,한바다 / 찬란,9.62,"세상과 단절되어 살아가던 나는 '괴물공작' 이라 불리는 아빠에게 거둬졌다.어느 날, 아빠의 서재에서 이상한 책을 발견하는데…이거 내용이 왜 이래? 내가 병 때문에 죽는다고? 그러면서 양녀를 들이고 잘해줘?어차피 죽을 거라면 그전에는 뭘 해도 안 죽는다는 거잖아! 그렇다면, 정말 로티 맘대로 해버릴 거야!","스토리, 판타지",전체연령가,수
209,두 번 사는 프로듀서,여로운 / 왕십리글쟁이,9.91,"“어, 미안. 근데 먼저 한 사람이 임자 아니야?방송계가 원래 그런 거잖아.”꿈을 가지고 패기 있게 방송국에 입사했지만,쓰레기 같은 선배를 만나 10년 동안 모든 걸 빼앗기기만 한 준수.뼈저리게 후회하고 이를 갈았지만, 바로잡을 수가 없었다.절망에 잠겨 모든 걸 포기하려던 그때,내 인생에 두 번째 기회가 찾아왔다.기억도, 그간의 노하우도 모두 그대로인 채로 입사날로 회귀한 준수.두 번째 삶에서는 과거의 절망을 반복하지 않고, 꿈을 이룰 수 있을까?","스토리, 판타지",12세 이용가,수
210,반귀,세정,9.96,"평범한 하연과 기묘한 후안의 평범하지 않은 캠퍼스 라이프!귀신이 보이진 않아도 그들의 기운을 느낄 수 있는 하연은 어느 날 귀신인지 아닌지 헷갈리는 후안을 만나게 된다.그 이후로, 정체 모를 기괴한 존재들이 자꾸만 하연의 주변을 맴돌게 되는데...<귀각시> 세정 작가의 신작!","스토리, 로맨스",12세 이용가,수
211,영웅&마왕&악당,모모 / 무영자,9.93,"신들의 가호를 받아 악을 처단하는 고결한 ‘영웅’.악마의 힘을 받아 태어난 강력한 마족 최후의 생존자 ‘마왕’.악의 조직을 전전하는 숙련된 삼류 ‘악당’.악당 생활도 이젠 끝이다. 은퇴해서 편안한 여생을 보내려 했더니우연히 주운 녀석은 마왕이고, 영웅 녀석은 은혜를 갚겠답시고 찾아와내 편안한 은퇴 생활을 망치고 있다!악당을 가호하는 아흔아홉 악마시여….신의 축복이나 받고 죽으소서!","스토리, 판타지",12세 이용가,수
212,잿빛도 색이다,쿼시,9.73,평범한 회사원 '지호'는 무기력증으로 여자친구 '솔빈'과의 연애도 무료하게 느껴지고..그 때 새로움과 짜릿함을 갖고 있는 ‘신생’ 유튜버 ‘은율’을 알게 되면서감정이 폭죽처럼 빠르게 터져나간다.“이러면 안되는데.. 안되는데..” 하면서도 마음이 자꾸 그 쪽으로 가는데..,"스토리, 드라마",12세 이용가,수
213,주부 육성중,임현,9.97,"최강 소방관의 다음 직업은 최강 주부?사랑하는 배우자를 위해 주부가 되기로 한 남자와, 그를 주부로 만들기 위한 마음빌라 사람들의 고군분투 주부 육성기!","스토리, 드라마",전체연령가,수
214,좀간,옹구 / 다이,9.95,"모두가 살기 위해 발버둥 치는 세상 속, 유일하게 죽음을 원하는 소년, 온미래.어느날 그의 앞에 필살부대가 나타나 제안을 건넨다. '너를 죽여줄테니, 인간 사회를 함께 재건해다오'죽기 위해선, 모두를 살려야 한다.","스토리, 액션",15세 이용가,수
215,인과관계,강환영,9.95,스킨십 공포증이 있는 유라의 곁엔 오로지 소꿉친구인 해원이뿐이었지만 고인우와 권미인 그리고 다양한 사람들과 만나게 되면서 새로운 감정을 알아가고 진정한 인간관계를 쌓아간다.,"스토리, 로맨스",12세 이용가,수
216,범이올시다!,해,9.97,"호통치는 영희 할머니와 무뚝뚝 소녀 방실이 앞에 나타난 정체불명의 고양... 아니 호랑이? 옛날 옛적 어느 산속 마을, 인간 소녀 '방실이'가 친구들과 함께 신통방통한 아기 호랑이 '범이'를 키우게 되면서 일어나는 다양한 일상 이야기! 그러나 이 평범한 일상 속에 감춰져 있던 신묘한 사실들이 하나둘씩 밝혀지기 시작하는데?!","에피소드, 일상",전체연령가,수
217,그림자의 밤,융,9.97,"예지몽을 꾸는 '이아름'은 어느 날 기억 저편으로 밀려났던 악몽들을 떠올리게 된다.그리고 노트에는 기억에 없는 꿈에 관한 내용들이 적혀있는데...'난 이런 거 쓴 적 없어! 하지만 분명 이건 내 꿈이 맞는데..?'꿈에서 봤던 괴물들이 하나씩 현실에 등장하고,특별한 능력을 가진 사람들이 세상에 모습을 보이기 시작한다.","스토리, 판타지",15세 이용가,수
218,컨트롤,해츨링,5.85,본 컨텐츠는 한국도핑방지위원회의 브랜드 웹툰으로 해츨링 작가가 전하는 2022 도핑방지 인식개선 및 스포츠가치 확산을 위한 웹툰입니다.,"스토리, 스포츠",전체연령가,수
219,홀리데이,광진,9.91,"산업화가 시작되고 지구의 온도는 계속해서 오르고 있다.이대로는 지구가 멸망하지만 아무도 관심이 없다.천재 소년 강마루는 지구를 구하기 위해프로젝트 '홀리데이'를 실행한다.전 인류를 위함이다, 강마루는 수단과 방법을 가리지 않는다.","스토리, 드라마",12세 이용가,수
